category,gender,country,ranking,ranking_points
youth,Men,Spain,1,378
youth,Men,France,2,367
youth,Men,Lithuania,3,339
youth,Men,Turkey,4,311
youth,Men,Serbia,5,309
youth,Men,Croatia,6,220
youth,Men,Italy,7,202
youth,Men,Greece,8,158
youth,Men,Germany,9,112
youth,Men,Latvia,10,112
youth,Men,Bosnia and Herzegovina,11,110
youth,Men,Russia,12,105
youth,Men,Montenegro,13,103
youth,Men,Finland,14,75
youth,Men,Slovenia,15,67
youth,Men,Israel,16,33
youth,Men,Estonia,17,25
youth,Men,Great Britain,18,23
youth,Men,Czech Republic,19,19
youth,Men,Sweden,20,15
youth,Men,Ukraine,21,15
youth,Men,Netherlands,22,8
youth,Men,North Macedonia,23,7
youth,Men,England,24,5
youth,Men,Poland,25,4
youth,Men,Slovakia,26,4
youth,Men,Georgia,27,3
